"palabra","significado","ejemplo"
"sobijo","masaje que se da sobre una parte del cuerpo",""
"sobrecupo","exceso de pasajeros o de carga en un vehículo o en un lugar","le pusieron una multa por llevar sobrecupo"
"sobresábana","parte del juego de cama que va sobre la sábana",""
"socolar","desmontar un terreno dejando los árboles grandes. ¿cómo va a dejar de socolar sus montes, [ .] por atenderme a mí",""
"soplado","con verbos de movimiento, muy rápido","salió soplado a la clase, porque iba retrasado"
"soplar","tener energías para realizar algo",""
"soplete","papeleta escrita para ayudarse subrepticiamente en un examen",""
"sorrostricar","molestar, incomodar",""
"sucumba","agua de panela",""
"sucursal","amante de un hombre casado",""
"sudadera","traje de dos piezas que se usa para hacer deporte",""
"sudor","medicamento que hace sudar","me tomé un sudor, para esta gripa"
"sumercé","forma de tratamiento empleada como expresión cariñosa y respetuosa, especialmente con la familia",""
"suplirse","recibir algún provecho o beneficio. promesas y más promesas/que nunca las has cumplido,/si me quisieras de veras/di algo me hubiera suplido",""
"surco","tierra que levanta el arado entre una y otra hendedura","levante más el surco para que no se pudra la papa"
"surquear","hacer surcos en la tierra al ararla",""
"surquear","entre aparceros, sacar los frutos de los surcos",""
"surumangué","baile popular con aire de torbellino, en que se entonan estrofas especiales y se hacen algunas figuras al mismo tiempo que se porta un huso para hilar lana","este es el surumanguito/y este es el surumanguito/y este es el surumangué,/que lo bailan con la mano,/que lo bailan con el pie"
"surumba","huila, tol. agua de panela",""
"susunga","utensilio que se emplea para sacar el agua o la cachaza en los trapiches",""
"tabla","billete de mil pesos","eso vale cinco tablas"
"tableado","abundante, por ejemplo, comida",""
"taco","trancón, embotellamiento de tránsito",""
"tacón puntilla","en un zapato, pieza en forma de una puntilla larga que se une a la suela",""
"tallar","producir excoriaciones, raspaduras un lazo o una cuerda",""
"tallar","dicho especialmente del calzado, apretar",""
"tampoco","se emplea a veces para caracterizar algo como exagerado","presentaste entonces tu renuncia? ¡no , tampoco! tampoco es que le quitemos el saludo"
"tanganazo","golpe fuerte y repentino",""
"tanganazo","trago grande de ron u otro licor, ingerido de una sola vez",""
"tanganearse","contonearse",""
"tanquear","comer, alimentarse",""
"tanquear","aprovisionar de gasolina el tanque de un vehículo",""
"tapado","torpe, con dificultad para aprender",""
"tapado","solapado",""
"tapar","obstruirse las fosas nasales por efecto de un resfriado, o un catarro","se me taparon las narices"
"tapar","en el fútbol, atajar el balón el arquero",""
"tapar","enriquecerse","el comerciante se tapó en plata"
"tapar","obstruirse una cañería","se tapó el sifón del baño"
"tapetusa","aguardiente de contrabando y de muy mala calidad",""
"taqueada","reprimenda fuerte","le metieron una taqueada"
"taqueado","completamente lleno","estaba taqueada la sala de cine"
"taquear","reprender severamente",""
"taquiara","faja que usan a veces los indígenas en la cabeza como adorno",""
"tarabita","cable tendido sobre un río para el paso de personas o bultos mediante un pequeño carro colgante",""
"tarea","ejercicio que el maestro pone a los estudiantes para que lo hagan fuera de clase",""
"tarrear","acariciar las piernas o las nalgas",""
"tarro","envase de metal, plástico o madera para algunos líquidos y comestibles",""
"tas tas","voz onomatopéyica que se usa para indicar el sonido que produce el choque de dos bolas en el juego de billar",""
"tastasearse","chocar dos bolas de billar",""
"te conozco mosco","se usa para poner en duda o desconfiar de algo que hace una persona","no me digas mentiras que te conozco mosco"
"tejo","deporte que se juega entre dos o más personas que consiste en lanzar un tejo a una cancha de greda o de plastilina, con un bocín en el centro y mechas en este a las que el jugador debe apuntar",""
"tembo","aturdido, bobo, tonto",""
"temperar","mudar una persona temporalmente de clima por razones de placer o de salud","algunos habitantes de bogotá temperan en girardot y otros en la costa"
"tener buena","o",""
"tener espuela","tener mucha experiencia, conocimiento o habilidad en alguna materia",""
"tener fucú","estar de malas, ser infortunado",""
"tener huevo","expresión para calificar a alguien como descarado o mentiroso",""
"tener o ser buena muñeca","ser bueno para liarse a puños",""
"tener palito","poseer gracia, simpatía y habilidad para realizar una cosa",""
"tener pepa","ser inteligente",""
"tener res amarrada","tener un compromiso amoroso oculto",""
"tenerle azar","a algo o a alguien . tenerle uno desconfianza mezclada con temor a algo o alguien","como a yo me parecía cosa diabólica siempre les tenía azar y recelo"
"ternera a la llanera","la que se corta en trozos y se asa en una varilla al aire libre",""
"terronera","miedo, pavor, espanto",""
"tierrero","trifulca, pelea","se armó el tierrero"
"tierrero","montón de tierra",""
"tierrero","polvareda",""
"tigra","tigresa",""
"tigra","mujer de muy mal genio",""
"tigre","persona muy hábil en alguna actividad","es un tigre para conseguir dinero"
"timbrar","tocar el timbre",""
"timbrar","sobresaltarse, asustarse por algo",""
"tinieblo","amante clandestino de una mujer",""
"tinterillo","abogado que ejerce la profesión sin tener título",""
"tinto","café que se toma sin leche o crema",""
"tiradera","burla chanza",""
"tirarse","echar a perder una cosa o asunto","se tiró el negocio; se tiró la fiesta"
"tirarse","perjudicar a una persona","se lo tiró con esa crianza"
"tiro por tiro","reiteradamente",""
"tirria","envidia",""
"toca","indica que algo es de inevitable cumplimiento","hay que pagar ese impuesto –toca"
"toche","tonto, bobo","no sea toche"
"toche","miembro viril",""
"tomatrago","aficionado a beber licores embriagantes",""
"tomba","grupo de policías",""
"tombo","agente de policía",""
"topocho","variedad de plátano pequeño",""
"torbellino","música y baile popular parecido al bambuco","aunque mi mamá regañe/ y me rompa el camisón,/yo no dejo de bailar/torbellino y galerón"
"tostar","matar",""
"tote","trozo de fósforo con pólvora que estalla al golpearlo o refregarlo",""
"totear","estallar","antier le pegó una diana/que vergüenza da contar;/y le puso las narices/ como de buey, pa'totiar"
"totear","reprobar a un estudiante en un examen",""
"toy","voz que, repetida, se usa para llamar a las reses vacunas",""
"traba","efecto del consumo de drogas alucinógenas",""
"trabarse","ponerse bajo los efectos de un alucinógeno",""
"traga","enamoramiento",""
"traga","novia o novio","allá viene mi traga"
"tragarse","enamorarse",""
"trago","copa de licor",""
"trago","bebida alcohólica",""
"traje formal","el compuesto de saco y pantalón, de color oscuro",""
"trancón","embotellamiento de tráfico",""
"trapeador","utensilio de aseo para limpiar el piso que consta de un palo y tiras de lana o tela en su parte inferior",""
"trapero","utensilio de aseo para limpiar el piso que consta de un palo y tiras de lana o tela en su parte inferior",""
"trasbocar","vomitar",""
"trastear","mudar de vivienda",""
"trastear","trasladar algo de un sitio a otro","qué pesar tan grande tener que trastiale sus cositas"
"traviesa","cosecha menor que se obtiene fuera de las épocas de las cosechas principales",""
"trinche","tenedor de mesa",""
"trompadachín","dado a pelear a trompadas",""
"troncharse","dislocarse una articulación",""
"troñuño","avaro, mezquino, tacaño",""
"truncho","res o bestia sin cola",""
"truñuño","avaro, mezquino, tacaño",""
"tulpa","cada una de las tres piedras del fogón u hogar, sobre las cuales se coloca la olla",""
"tumbar","estafar, robar",""
"tumbe","estafa, robo",""
"tunjo","figura indígena de la época precolombina antropomorfo o zoomorfo",""
"turra","pirinola",""
"turra","dicho de una persona, de baja estatura",""
"turra","juego de suerte en que se emplea una pirinola",""
"turupe","chichón",""
"tusa","corazón de la mazorca",""
"tusa","despecho por razones amorosas",""
"tusar","rapar, cortar el pelo muy corto",""
"tuso","rapado, sin pelo",""
"tusta","cabeza",""
"tuste","cabeza",""
"uchar","estimular con voces a un perro",""
"uisa","voz que se emplea para espantar a las gallinas",""
"uiste","voz que se emplea para espantar animales como caballos, asnos y vacas",""
"upac","unidad de poder adquisitivo constante",""
"upaquizar","convertir una deuda en unidades de upac",""
"upaquizar","mantener el valor constante de una deuda",""
"uste","voz que emplean los campesinos para detener a los bueyes de trabajo",""
"vaciada","regaño, reprensión en términos ásperos","me pegó una vaciada"
"vaciar","reprender, regañar con palabras ásperas",""
"vacuna","suma de dinero que exigen personas al margen de la ley a una persona o empresa",""
"vaina","palabra comodín para designar cualquier cosa","alcánceme esa vaina"
"vaina","molestia, contrariedad, fastidio",""
"vallado","zanja de drenaje que divide un terreno",""
"vallenato","canción que acompaña a esta música que se basa en relatos populares",""
"vallenato","música originaria de la guajira y el cesar, cuyo instrumento principal es el acordeón",""
"vallenatología","estudio académico del vallenato",""
"varejón","vara larga y delgada",""
"vareto","cigarrillo de marihuana",""
"vender al detal","vender al por menor",""
"venirse","eyacular",""
"vereda","cada uno de los sectores rurales en que se divide un municipio",""
"vergajada","bellaquería",""
"vergajo","forma de referirse a una persona","ese vergajo no es de por aquí"
"vergajo","sinvergüenza, bellaco",""
"veringo","desnudo",""
"verriondo","persona audaz, valiente",""
"verriondo","persona mal intencionada",""
"vespertina","función de cine o teatro que comienza a las seis de la tarde","ayer fuimos a vespertina"
"victimario","persona que hiere o mata a otro",""
"vida de perros","vida llena de maltratos, privaciones o pesadumbres",""
"vieja","mujer joven",""
"vieja","tratamiento cariñoso para la esposa",""
"vincha","balaca, cinta o tira con que se sujeta el pelo",""
"viringo","desnudo",""
"viudo","sopa de pescado con yuca y plátano",""
"vivandero","persona que vende víveres en un mercado",""
"volado","dicho de una persona, de carácter irascible, impulsivo",""
"volado","dicho de una persona, mentalmente trastornado",""
"volantón","dicho de una muchacha, ligera en su comportamiento, especialmente con los muchachos",""
"volantón","dicho de una persona, que se halla entre la adolescencia y juventud","cuando estaba volantón oí referir el cuento"
"volar","robar",""
"volar","fugarse, desaparecer de un lugar","el preso se voló de la cárcel"
"volar","perder fácilmente el control de sí mismo","se vuela por cualquier cosa"
"volate","confusión por causa del movimiento desordenado de las personas","en el volate de la manifestación se me perdió el sombrero"
"voleo","ajetreo",""
"volverse cocorra de mico","desordenarse totalmente, volverse una confusión inextricable",""
"voz de tarro","voz estridente y fastidiosa",""
"yagé","bebida preparada con un bejuco y que usan los curanderos para efectos de alucinación y adivinanza",""
"yare","jugo venenoso de una especie de yuca, que contiene ácido cianhídrico",""
"yegua","persona de pocas capacidades mentales","ser una yegua"
"yerba","marihuana",""
"yerbatero","curandero","a las once de la misma noche se reunía en consulta el cuerpo médico de la blanca: don hermógenes, el boticario; mano esteban, el yerbatero insigne y la tía juana, especialista en tabardillos y descensos"
"yerbazo","pócima perjudicial para la salud que a veces dan los yerbateros",""
"yipao","vehículo pequeño, carpado, utilizado para transportar personas, animales y bultos de regular tamaño","yo más bien me voy en cachilapo"
